UniProtKB:P01160	Natriuretic peptides A		GO:0043508		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR14066	protein		PMID:22399583	20190909
UniProtKB:P05129	Protein kinase C gamma type		GO:0004672		HGNC	NCBITaxon:9606	IDA		PANTHER:PTHR24356	protein		PMID:15808853	20061113
UniProtKB:P05129	Protein kinase C gamma type		GO:0004697		PINC	NCBITaxon:9606	TAS		PANTHER:PTHR24356	protein		PMID:3755548	20030904
UniProtKB:P05129	Protein kinase C gamma type		GO:0004698		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P63319|ensembl:ENSRNOP00000071203	PANTHER:PTHR24356	protein		GO_REF:0000107	20190816
UniProtKB:P05129	Protein kinase C gamma type		GO:0004712		MGI	NCBITaxon:9606	IDA		PANTHER:PTHR24356	protein		PMID:22797923	20140507
UniProtKB:P05129	Protein kinase C gamma type		GO:0004674		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0003091|FB:FBgn0003744|FB:FBgn0010379|FB:FBgn0260399|FB:FBgn0261854|MGI:MGI:104874|MGI:MGI:2182368|MGI:MGI:87986|MGI:MGI:894676|MGI:MGI:97595|MGI:MGI:97596|MGI:MGI:97599|MGI:MGI:97602|PANTHER:PTN000683254|PomBase:SPAC1B9.02c|PomBase:SPAC22E12.14c|PomBase:SPAC24B11.11c|PomBase:SPAC821.12|PomBase:SPAPB18E9.02c|PomBase:SPCC576.15c|RGD:2081|RGD:2082|RGD:3399|RGD:3668|RGD:620146|RGD:620968|RGD:62390|SGD:S000001248|SGD:S000001609|SGD:S000001861|SGD:S000002898|SGD:S000003324|SGD:S000005105|SGD:S000005460|SGD:S000006315|TAIR:locus:2088515|UniProtKB:O15530|UniProtKB:O95835|UniProtKB:P05771|UniProtKB:P17252|UniProtKB:P31749|UniProtKB:P31751|UniProtKB:P41743|UniProtKB:Q02156|UniProtKB:Q04759|UniProtKB:Q05513|UniProtKB:Q05655|UniProtKB:Q09013|UniProtKB:Q15208|UniProtKB:Q16512|UniProtKB:Q16513|UniProtKB:Q96GX5|UniProtKB:Q9NRM7|UniProtKB:Q9XF67|UniProtKB:Q9Y243|UniProtKB:Q9Y2H1|WB:WBGene00000102|WB:WBGene00000103|WB:WBGene00004034|WB:WBGene00004789|WB:WBGene00006599|dictyBase:DDB_G0268620	PANTHER:PTHR24356	protein		PMID:21873635	20170228
UniProtKB:P67775	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform		GO:0000188		UniProt	NCBITaxon:9606	NAS		PANTHER:PTHR45619	protein		PMID:11007961	20041130
UniProtKB:P67775	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform		GO:0071902		BHF-UCL	NCBITaxon:9606	IMP		PANTHER:PTHR45619	protein		PMID:20080667	20101119
UniProtKB:P05112	Interleukin-4		GO:0042976	"{""relationship"": {""relation"": [{""id"": ""GOREL:0000015"", ""label"": ""has_regulation_target""}], ""id"": ""UniProtKB:P23458"", ""label"": ""UniProtKB:P23458""}}|{""relationship"": {""relation"": [{""id"": ""GOREL:0000015"", ""label"": ""has_regulation_target""}], ""id"": ""UniProtKB:P52333"", ""label"": ""UniProtKB:P52333""}}"	ARUK-UCL	NCBITaxon:9606	IGI	UniProtKB:P08575	PANTHER:PTHR47401	protein		PMID:12574355	20180724
UniProtKB:Q96KB5	Lymphokine-activated killer T-cell-originated protein kinase		GO:0004674		UniProt	NCBITaxon:9606	TAS		PANTHER:PTHR43289	protein		PMID:10779557	20050308
UniProtKB:Q9BX84	Transient receptor potential cation channel subfamily M member 6		GO:0004674		UniProt	NCBITaxon:9606	IEA	UniProtKB-KW:KW-0723	PANTHER:PTHR13800	protein		GO_REF:0000037	20190914
UniProtKB:P15391	B-lymphocyte antigen CD19		GO:0043552		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR16674	protein		PMID:9382888	20181107
UniProtKB:P03950	Angiogenin		GO:0032148		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR11437	protein		PMID:17125737	20070703
UniProtKB:P54753	Ephrin type-B receptor 3		GO:0005003		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24416	protein		PMID:15536074	20110906
UniProtKB:P54753	Ephrin type-B receptor 3		GO:0005003		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24416	protein		PMID:8397371	20110905
UniProtKB:P54753	Ephrin type-B receptor 3		GO:0004714		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0003733|FB:FBgn0040505|FB:FBgn0283499|MGI:MGI:109378|MGI:MGI:1339758|MGI:MGI:1345277|MGI:MGI:95276|MGI:MGI:95294|MGI:MGI:95522|MGI:MGI:95524|MGI:MGI:95558|MGI:MGI:95561|MGI:MGI:96677|MGI:MGI:96683|MGI:MGI:96969|MGI:MGI:97384|MGI:MGI:97530|MGI:MGI:97902|MGI:MGI:98277|MGI:MGI:99611|MGI:MGI:99612|MGI:MGI:99654|PANTHER:PTN002356460|RGD:2543|RGD:2611|RGD:2621|RGD:2869|RGD:2917|RGD:2965|RGD:3082|RGD:3213|RGD:3214|RGD:3284|RGD:3285|RGD:620144|RGD:620714|RGD:620831|RGD:621737|UniProtKB:P00533|UniProtKB:P04626|UniProtKB:P04629|UniProtKB:P06213|UniProtKB:P07333|UniProtKB:P07949|UniProtKB:P08069|UniProtKB:P09619|UniProtKB:P10721|UniProtKB:P11362|UniProtKB:P14616|UniProtKB:P16234|UniProtKB:P17948|UniProtKB:P21709|UniProtKB:P21802|UniProtKB:P22455|UniProtKB:P22607|UniProtKB:P29317|UniProtKB:P29320|UniProtKB:P35916|UniProtKB:P35968|UniProtKB:P54753|UniProtKB:P54760|UniProtKB:P54762|UniProtKB:Q08345|UniProtKB:Q15303|UniProtKB:Q16620|UniProtKB:Q16832|UniProtKB:Q5JZY3|UniProtKB:Q91987|UniProtKB:Q9UM73|WB:WBGene00000289|WB:WBGene00006868|WB:WBGene00020504|ZFIN:ZDB-GENE-980526-255	PANTHER:PTHR24416	protein		PMID:21873635	20180820
UniProtKB:Q9NQ84	G-protein coupled receptor family C group 5 member C		GO:0032147		GOC	NCBITaxon:9606	IEA	GO:0030295	PANTHER:PTHR14511	protein		GO_REF:0000108	20190914
UniProtKB:Q9NQ84	G-protein coupled receptor family C group 5 member C		GO:0030295		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN001025902|UniProtKB:Q9NZH0	PANTHER:PTHR14511	protein		PMID:21873635	20180503
UniProtKB:P05067	Amyloid-beta precursor protein		GO:0007176		UniProt	NCBITaxon:9606	ISS	UniProtKB:P12023	PANTHER:PTHR23103	protein		GO_REF:0000024	20091102
UniProtKB:P30291	Wee1-like protein kinase		GO:0004715		UniProt	NCBITaxon:9606	IEA	EC:2.7.10.2	PANTHER:PTHR11042	protein		GO_REF:0000003	20190914
UniProtKB:P30291	Wee1-like protein kinase		GO:0016301		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR11042	protein		Reactome:R-HSA-170070	20150207
UniProtKB:P30291	Wee1-like protein kinase		GO:0016301		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR11042	protein		Reactome:R-HSA-174164	20150207
UniProtKB:P30291	Wee1-like protein kinase		GO:0016301		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR11042	protein		Reactome:R-HSA-69195	20150207
UniProtKB:P30291	Wee1-like protein kinase		GO:0004713		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0011737|PANTHER:PTN000113602	PANTHER:PTHR11042	protein		PMID:21873635	20180302
UniProtKB:P30291	Wee1-like protein kinase		GO:0004672		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:103075|MGI:MGI:1341830|MGI:MGI:1353448|MGI:MGI:1353449|PANTHER:PTN000113601|PomBase:SPBC36B7.09|SGD:S000002691|TAIR:locus:2024780|UniProtKB:P19525|UniProtKB:Q8IL26|WB:WBGene00006988|ZFIN:ZDB-GENE-050301-2|ZFIN:ZDB-GENE-080422-1	PANTHER:PTHR11042	protein		PMID:21873635	20180302
UniProtKB:P50750	Cyclin-dependent kinase 9		GO:0004672		PINC	NCBITaxon:9606	TAS		PANTHER:PTHR24056	protein		PMID:8170997	20030904
UniProtKB:P50750	Cyclin-dependent kinase 9		GO:0004674		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24056	protein		Reactome:R-HSA-9012319	20170712
UniProtKB:P50750	Cyclin-dependent kinase 9		GO:0004693		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24056	protein		PMID:12037670	20160115
UniProtKB:P50750	Cyclin-dependent kinase 9		GO:0008353		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24056	protein		PMID:12721286	20180103
UniProtKB:P50750	Cyclin-dependent kinase 9		GO:0008353		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24056	protein		PMID:9499409	20180103
UniProtKB:P50750	Cyclin-dependent kinase 9		GO:0016301		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24056	protein		Reactome:R-HSA-112381	20060103
UniProtKB:P50750	Cyclin-dependent kinase 9		GO:0004693		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0004106|FB:FBgn0005640|FB:FBgn0013762|FB:FBgn0019949|FB:FBgn0263237|MGI:MGI:104772|MGI:MGI:88351|MGI:MGI:88357|PANTHER:PTN000623091|PomBase:SPAC23H4.17c|PomBase:SPAC2F3.15|PomBase:SPBC11B10.09|PomBase:SPBC19F8.07|PomBase:SPBC32H8.10|RGD:2319|RGD:621120|RGD:621124|RGD:70486|RGD:70514|SGD:S000000364|SGD:S000001622|SGD:S000005952|SGD:S000005963|SGD:S000006365|TAIR:locus:2011761|UniProtKB:C9K505|UniProtKB:O94921|UniProtKB:P06493|UniProtKB:P11802|UniProtKB:P24941|UniProtKB:P50750|UniProtKB:P61075|UniProtKB:Q00534|UniProtKB:Q8IJQ1|WB:WBGene00000405|ZFIN:ZDB-GENE-010131-2|dictyBase:DDB_G0272813|dictyBase:DDB_G0288677	PANTHER:PTHR24056	protein		PMID:21873635	20170228
UniProtKB:P50750	Cyclin-dependent kinase 9		GO:0008353		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0019949|FB:FBgn0037093|MGI:MGI:1328368|PANTHER:PTN001936021|PomBase:SPAC2F3.15|PomBase:SPBC32H8.10|SGD:S000006365|UniProtKB:P50750|UniProtKB:Q14004|UniProtKB:Q9NYV4	PANTHER:PTHR24056	protein		PMID:21873635	20170228
UniProtKB:Q96L34	MAP/microtubule affinity-regulating kinase 4		GO:0004674		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24346	protein		PMID:15009667	20040518
UniProtKB:Q96L34	MAP/microtubule affinity-regulating kinase 4		GO:0004674	"{""relationship"": {""relation"": [{""id"": ""RO:0002233"", ""label"": ""has input""}], ""id"": ""UniProtKB:P10636"", ""label"": ""UniProtKB:P10636""}}"	ARUK-UCL	NCBITaxon:9606	NAS		PANTHER:PTHR24346	protein		PMID:28386764	20180122
UniProtKB:Q96L34	MAP/microtubule affinity-regulating kinase 4		GO:0050321		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24346	protein		PMID:14594945	20040519
UniProtKB:Q96L34	MAP/microtubule affinity-regulating kinase 4		GO:0050321		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR24346	protein		PMID:23666762	20180504
UniProtKB:Q96L34	MAP/microtubule affinity-regulating kinase 4		GO:0050321		ARUK-UCL	NCBITaxon:9606	IMP		PANTHER:PTHR24346	protein		PMID:27708431	20180515
UniProtKB:Q96L34	MAP/microtubule affinity-regulating kinase 4		GO:0050321		ARUK-UCL	NCBITaxon:9606	NAS		PANTHER:PTHR24346	protein		PMID:28386764	20181030
UniProtKB:Q96L34	MAP/microtubule affinity-regulating kinase 4		GO:0050321		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0260934|PANTHER:PTN000680111|RGD:619882|RGD:708483|UniProtKB:Q96L34	PANTHER:PTHR24346	protein		PMID:21873635	20180323
UniProtKB:Q96L34	MAP/microtubule affinity-regulating kinase 4		GO:0004674		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0260934|PANTHER:PTN002519176|RGD:619882|RGD:708483|SGD:S000000015|SGD:S000005405|UniProtKB:P27448|UniProtKB:Q7KZI7|UniProtKB:Q93V58|UniProtKB:Q96L34|UniProtKB:Q96RG2|UniProtKB:Q9P0L2|UniProtKB:Q9Y2K2|WB:WBGene00003916	PANTHER:PTHR24346	protein		PMID:21873635	20180323
UniProtKB:P30281	G1/S-specific cyclin-D3		GO:0004693		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P30282|ensembl:ENSMUSP00000126141	PANTHER:PTHR10177	protein		GO_REF:0000107	20190816
UniProtKB:P30281	G1/S-specific cyclin-D3		GO:0045737		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR10177	protein		PMID:8114739	20071122
UniProtKB:P30281	G1/S-specific cyclin-D3	contributes_to	GO:0004672		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:88313|PANTHER:PTN000019791	PANTHER:PTHR10177	protein		PMID:21873635	20171130
UniProtKB:P30281	G1/S-specific cyclin-D3		GO:0016538		GO_Central	NCBITaxon:9606	IBA	CGD:CAL0000175354|FB:FBgn0000404|FB:FBgn0000405|FB:FBgn0010315|FB:FBgn0010317|FB:FBgn0010382|MGI:MGI:1329034|MGI:MGI:88313|MGI:MGI:88316|PANTHER:PTN000019791|SGD:S000000038|SGD:S000002314|SGD:S000003340|SGD:S000003341|SGD:S000004200|SGD:S000004812|SGD:S000006177|SGD:S000006323|SGD:S000006324|WB:WBGene00000865|WB:WBGene00000868|WB:WBGene00000871	PANTHER:PTHR10177	protein		PMID:21873635	20171130
UniProtKB:P30281	G1/S-specific cyclin-D3		GO:0000079		GO_Central	NCBITaxon:9606	IBA	CGD:CAL0000175354|CGD:CAL0000185532|PANTHER:PTN000019791|SGD:S000000038|SGD:S000002314|SGD:S000003340|SGD:S000003341|SGD:S000004200|SGD:S000004812|SGD:S000006177|SGD:S000006323|SGD:S000006324	PANTHER:PTHR10177	protein		PMID:21873635	20171130
UniProtKB:P30279	G1/S-specific cyclin-D2		GO:0045737		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR10177	protein		PMID:8114739	20071122
UniProtKB:P30279	G1/S-specific cyclin-D2		GO:0016538		GO_Central	NCBITaxon:9606	IBA	CGD:CAL0000175354|FB:FBgn0000404|FB:FBgn0000405|FB:FBgn0010315|FB:FBgn0010317|FB:FBgn0010382|MGI:MGI:1329034|MGI:MGI:88313|MGI:MGI:88316|PANTHER:PTN000019791|SGD:S000000038|SGD:S000002314|SGD:S000003340|SGD:S000003341|SGD:S000004200|SGD:S000004812|SGD:S000006177|SGD:S000006323|SGD:S000006324|WB:WBGene00000865|WB:WBGene00000868|WB:WBGene00000871	PANTHER:PTHR10177	protein		PMID:21873635	20171130
UniProtKB:P30279	G1/S-specific cyclin-D2	contributes_to	GO:0004672		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:88313|PANTHER:PTN000019791	PANTHER:PTHR10177	protein		PMID:21873635	20171130
UniProtKB:P30279	G1/S-specific cyclin-D2		GO:0000079		GO_Central	NCBITaxon:9606	IBA	CGD:CAL0000175354|CGD:CAL0000185532|PANTHER:PTN000019791|SGD:S000000038|SGD:S000002314|SGD:S000003340|SGD:S000003341|SGD:S000004200|SGD:S000004812|SGD:S000006177|SGD:S000006323|SGD:S000006324	PANTHER:PTHR10177	protein		PMID:21873635	20171130
UniProtKB:Q9P289	Serine/threonine-protein kinase 26		GO:0004672		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24361	protein		PMID:11641781	20050721
UniProtKB:Q9P289	Serine/threonine-protein kinase 26		GO:0004672		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR24361	protein		PMID:22797597	20141203
UniProtKB:Q9P289	Serine/threonine-protein kinase 26		GO:0032147		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:1919399|PANTHER:PTN000684825|RGD:727905|UniProtKB:Q7RTN6|UniProtKB:Q9C0K7	PANTHER:PTHR24361	protein		PMID:21873635	20170228
UniProtKB:Q9P289	Serine/threonine-protein kinase 26		GO:0004674		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0023083|FB:FBgn0025743|FB:FBgn0031030|FB:FBgn0035001|FB:FBgn0261456|FB:FBgn0267698|MGI:MGI:1344404|MGI:MGI:1346882|MGI:MGI:1349394|MGI:MGI:1355329|MGI:MGI:1858416|MGI:MGI:1917378|MGI:MGI:1920334|PANTHER:PTN000684825|PomBase:SPBC1604.14c|PomBase:SPBC21.06c|RGD:3250|RGD:3251|RGD:621643|RGD:708455|RGD:727905|SGD:S000005242|TAIR:locus:2035989|TAIR:locus:2045658|TAIR:locus:2080394|TAIR:locus:2116417|TAIR:locus:2133559|TAIR:locus:2174969|TAIR:locus:2205523|TAIR:locus:2206885|UniProtKB:A0A0B4KGS4|UniProtKB:C0H4N8|UniProtKB:O94804|UniProtKB:O95747|UniProtKB:O95819|UniProtKB:O96013|UniProtKB:Q02750|UniProtKB:Q12851|UniProtKB:Q13043|UniProtKB:Q13153|UniProtKB:Q13177|UniProtKB:Q13188|UniProtKB:Q13233|UniProtKB:Q8IVH8|UniProtKB:Q8N4C8|UniProtKB:Q92918|UniProtKB:Q99558|UniProtKB:Q9H2G2|UniProtKB:Q9H2K8|UniProtKB:Q9UEW8|UniProtKB:Q9UKE5|UniProtKB:Q9UL54|UniProtKB:Q9Y4K4|UniProtKB:Q9Y6E0|WB:WBGene00013355|WB:WBGene00017472|dictyBase:DDB_G0276459|dictyBase:DDB_G0286359	PANTHER:PTHR24361	protein		PMID:21873635	20170228
UniProtKB:Q5U651	Ras-interacting protein 1		GO:2000299	"{""relationship"": {""relation"": [{""id"": ""RO:0002211"", ""label"": ""regulates""}, {""id"": ""BFO:0000066"", ""label"": ""occurs in""}], ""id"": ""CL:0002618"", ""label"": ""endothelial cell of umbilical vein""}}"	UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR16027	protein		PMID:26780829	20180913
UniProtKB:Q9NZV1	Cysteine-rich motor neuron 1 protein		GO:0005010		PINC	NCBITaxon:9606	TAS		PANTHER:PTHR46439	protein		PMID:10642437	20030904
UniProtKB:O95067	G2/mitotic-specific cyclin-B2		GO:0000079		GO_Central	NCBITaxon:9606	IBA	CGD:CAL0000175354|CGD:CAL0000185532|PANTHER:PTN000019791|SGD:S000000038|SGD:S000002314|SGD:S000003340|SGD:S000003341|SGD:S000004200|SGD:S000004812|SGD:S000006177|SGD:S000006323|SGD:S000006324	PANTHER:PTHR10177	protein		PMID:21873635	20171130
UniProtKB:O95067	G2/mitotic-specific cyclin-B2	contributes_to	GO:0004672		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:88313|PANTHER:PTN000019791	PANTHER:PTHR10177	protein		PMID:21873635	20171130
UniProtKB:O95067	G2/mitotic-specific cyclin-B2		GO:0016538		GO_Central	NCBITaxon:9606	IBA	CGD:CAL0000175354|FB:FBgn0000404|FB:FBgn0000405|FB:FBgn0010315|FB:FBgn0010317|FB:FBgn0010382|MGI:MGI:1329034|MGI:MGI:88313|MGI:MGI:88316|PANTHER:PTN000019791|SGD:S000000038|SGD:S000002314|SGD:S000003340|SGD:S000003341|SGD:S000004200|SGD:S000004812|SGD:S000006177|SGD:S000006323|SGD:S000006324|WB:WBGene00000865|WB:WBGene00000868|WB:WBGene00000871	PANTHER:PTHR10177	protein		PMID:21873635	20171130
UniProtKB:Q6SA08	Testis-specific serine/threonine-protein kinase 4		GO:0004674		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q9BXA7	PANTHER:PTHR24343	protein		GO_REF:0000024	20060223
UniProtKB:Q6SA08	Testis-specific serine/threonine-protein kinase 4		GO:0004674		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24343	protein		PMID:15964553	20070419
UniProtKB:Q6SA08	Testis-specific serine/threonine-protein kinase 4		GO:0004674		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0025625|MGI:MGI:104754|MGI:MGI:106924|MGI:MGI:1336173|MGI:MGI:1347559|MGI:MGI:1923020|MGI:MGI:2445031|MGI:MGI:2685946|PANTHER:PTN000678822|PomBase:SPAC57A10.02|PomBase:SPAC644.06c|PomBase:SPBC19C2.05|PomBase:SPBC4F6.06|PomBase:SPCC1020.10|PomBase:SPCC297.03|PomBase:SPCC74.03c|RGD:1359167|RGD:1563268|RGD:1566256|RGD:3387|RGD:620893|RGD:69407|RGD:69653|SGD:S000000931|SGD:S000001531|SGD:S000001584|SGD:S000002529|SGD:S000002885|SGD:S000004086|SGD:S000005127|SGD:S000005759|TAIR:locus:2009812|TAIR:locus:2094672|TAIR:locus:2102132|UniProtKB:O14757|UniProtKB:O60285|UniProtKB:P57059|UniProtKB:Q14680|UniProtKB:Q6SA08|UniProtKB:Q8IWQ3|UniProtKB:Q8IY84|UniProtKB:Q8TDC3|UniProtKB:Q96PF2|UniProtKB:Q9BXA6|UniProtKB:Q9BXA7|UniProtKB:Q9H093|UniProtKB:Q9H0K1|UniProtKB:Q9NRH2|UniProtKB:Q9STV4|WB:WBGene00003919	PANTHER:PTHR24343	protein		PMID:21873635	20170228
UniProtKB:O95057	GTP-binding protein Di-Ras1	not	GO:0043406		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24070	protein		PMID:12194967	20131211
UniProtKB:Q6P2M8	Calcium/calmodulin-dependent protein kinase type 1B		GO:0004683		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:2388073|PANTHER:PTN001218105|RGD:621800|RGD:629473|RGD:69249|WB:WBGene00000553	PANTHER:PTHR24347	protein		PMID:21873635	20170228
UniProtKB:Q14296	Fas-activated serine/threonine kinase		GO:0004674		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR21228	protein		PMID:7544399	20110126
UniProtKB:Q14296	Fas-activated serine/threonine kinase		GO:0033867		UniProt	NCBITaxon:9606	IEA	EC:2.7.11.8	PANTHER:PTHR21228	protein		GO_REF:0000003	20190914
UniProtKB:Q9C004	Protein sprouty homolog 4		GO:0043407		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:1345138|MGI:MGI:1345139|MGI:MGI:1345144|PANTHER:PTN000961788	PANTHER:PTHR12365	protein		PMID:21873635	20170420
UniProtKB:Q14289	Protein-tyrosine kinase 2-beta		GO:0004683		Alzheimers_University_of_Toronto	NCBITaxon:9606	ISS	UniProtKB:P70600	PANTHER:PTHR24418	protein		GO_REF:0000024	20140515
UniProtKB:Q14289	Protein-tyrosine kinase 2-beta		GO:0004713		PINC	NCBITaxon:9606	TAS		PANTHER:PTHR24418	protein		PMID:8939945	20030904
UniProtKB:Q14289	Protein-tyrosine kinase 2-beta		GO:0004715	"{""relationship"": {""relation"": [{""id"": ""GOREL:0000752"", ""label"": ""has_direct_input""}], ""id"": ""UniProtKB:Q9ULZ2"", ""label"": ""UniProtKB:Q9ULZ2""}}"	BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR24418	protein		PMID:10518561	20150316
UniProtKB:Q14289	Protein-tyrosine kinase 2-beta		GO:0004715		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24418	protein		PMID:7544443	20111124
UniProtKB:Q14289	Protein-tyrosine kinase 2-beta		GO:0042976		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR24418	protein		PMID:8670418	20111125
UniProtKB:Q14289	Protein-tyrosine kinase 2-beta		GO:0043507		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P70600|ensembl:ENSRNOP00000031615	PANTHER:PTHR24418	protein		GO_REF:0000107	20190816
UniProtKB:Q14289	Protein-tyrosine kinase 2-beta		GO:0043552		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q9QVP9	PANTHER:PTHR24418	protein		GO_REF:0000024	20111125
UniProtKB:Q14289	Protein-tyrosine kinase 2-beta		GO:0045860		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR24418	protein		PMID:7544443	20111124
UniProtKB:P60983	Glia maturation factor beta		GO:0004860		PINC	NCBITaxon:9606	TAS		PANTHER:PTHR11249	protein		PMID:8639570	20061109
UniProtKB:P60983	Glia maturation factor beta		GO:0006469		GOC	NCBITaxon:9606	IEA	GO:0004860	PANTHER:PTHR11249	protein		GO_REF:0000108	20190914
UniProtKB:Q6P2H3	Centrosomal protein of 85 kDa		GO:0006469		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR31075	protein		PMID:26220856	20151209
UniProtKB:Q02846	Retinal guanylyl cyclase 1		GO:0004672		InterPro	NCBITaxon:9606	IEA	InterPro:IPR000719|InterPro:IPR001245	PANTHER:PTHR11920	protein		GO_REF:0000002	20190907
UniProtKB:P05019	Insulin-like growth factor I		GO:0000187		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR46845	protein		PMID:22351760	20160421
UniProtKB:P05019	Insulin-like growth factor I		GO:0032148		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR46845	protein		PMID:22351760	20160421
UniProtKB:Q18PE1	Protein Dok-7		GO:0061098		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR21636	protein		PMID:20603078	20110610
UniProtKB:Q9UPZ9	Serine/threonine-protein kinase ICK		GO:0004672		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24055	protein		PMID:19185282	20180523
UniProtKB:Q9UPZ9	Serine/threonine-protein kinase ICK		GO:0004674		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24055	protein		PMID:10699974	20041206
UniProtKB:Q9UPZ9	Serine/threonine-protein kinase ICK		GO:0004674		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:1934157|PANTHER:PTN000622192|RGD:71050|UniProtKB:Q9UPZ9	PANTHER:PTHR24055	protein		PMID:21873635	20170228
UniProtKB:Q9HAZ1	Dual specificity protein kinase CLK4		GO:0004674		UniProt	NCBITaxon:9606	ISS	UniProtKB:O35493	PANTHER:PTHR45646	protein		GO_REF:0000024	20110904
UniProtKB:Q9HAZ1	Dual specificity protein kinase CLK4		GO:0004712		UniProt	NCBITaxon:9606	IEA	EC:2.7.12.1	PANTHER:PTHR45646	protein		GO_REF:0000003	20190914
UniProtKB:Q9HAZ1	Dual specificity protein kinase CLK4		GO:0004713		Ensembl	NCBITaxon:9606	IEA	UniProtKB:O35493|ensembl:ENSMUSP00000090820	PANTHER:PTHR45646	protein		GO_REF:0000107	20190816
UniProtKB:O14578	Citron Rho-interacting kinase		GO:0004674		UniProt	NCBITaxon:9606	ISS	UniProtKB:P49025	PANTHER:PTHR22988	protein		PMID:9792683	20051020
UniProtKB:O14578	Citron Rho-interacting kinase		GO:0004674		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0026181|MGI:MGI:105313|MGI:MGI:107926|PANTHER:PTN002743840|RGD:621406|RGD:621753|UniProtKB:O75116|UniProtKB:Q13464|UniProtKB:Q5VT25|UniProtKB:Q6DT37	PANTHER:PTHR22988	protein		PMID:21873635	20190308
UniProtKB:O14544	Suppressor of cytokine signaling 6		GO:0043551		GOC	NCBITaxon:9606	IEA	GO:0046935	PANTHER:PTHR10155	protein		GO_REF:0000108	20190914
UniProtKB:O14544	Suppressor of cytokine signaling 6		GO:0046935		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:109277|PANTHER:PTN000806614|RGD:3329|RGD:621042	PANTHER:PTHR10155	protein		PMID:21873635	20170228
UniProtKB:O14543	Suppressor of cytokine signaling 3		GO:0004860		PINC	NCBITaxon:9606	TAS		PANTHER:PTHR10155	protein		PMID:9266833	20050308
UniProtKB:O14543	Suppressor of cytokine signaling 3		GO:0006469		GOC	NCBITaxon:9606	IEA	GO:0004860	PANTHER:PTHR10155	protein		GO_REF:0000108	20190914
